Акции «Сегежи» рухнули на 27% на новости о проведении допэмиссии;https://quote.ru/news/article/66cef6c09a7947358da973f7?from=from_main_2
В «Бруснике» раскрыли детали КРТ за ₽3 млрд в центре Новосибирска;https://nsk.rbc.ru/nsk/28/08/2024/66cede929a794739851d4f86?from=from_main_3
Песков отреагировал на киевский «план победы над Россией»;https://www.rbc.ru/politics/28/08/2024/66cef37d9a79471cee01a075?from=from_main_4
Боец из Новосибирска выиграл отборочный поединок в UFC;https://nsk.rbc.ru/nsk/28/08/2024/66ce9a749a79473673af3655?from=from_main_5
Как горит нефтебаза в Ростовской области после удара дрона. Видео;https://www.rbc.ru/politics/28/08/2024/66cec2b69a7947fbdfa9c7b2?from=from_main_6
Новосибирская область опередила Москву по занятости доли населения в МСБ;https://nsk.rbc.ru/nsk/28/08/2024/66ce8d0c9a794729a6054fa3?from=from_main_7
Беспилотник впервые атаковал Кировскую область;https://www.rbc.ru/politics/28/08/2024/66ced7549a79475d364a97ec?from=from_main_8
В Новосибирской области рядом с ЦКП «СКИФ» создадут кампус;https://nsk.rbc.ru/nsk/28/08/2024/66ce94249a794781e610d82f?from=from_main_9
WSJ рассказала о предложении Макрона на ланче с Дуровым в 2018 году;https://www.rbc.ru/politics/28/08/2024/66ceb4379a7947e28328243c?from=from_main_10
Жителя Иркутска задержали за незаконный сбыт золота на завод Новосибирска;https://nsk.rbc.ru/nsk/28/08/2024/66cea3c59a7947530a4d3087?from=from_main_11
Зеленский назвал мирный план Китая политическим заявлением;https://www.rbc.ru/politics/28/08/2024/66ce3fb79a7947b2f6ebdb9c?from=from_main_12
Азербайджан обвинил Армению в обстреле позиций на границе;https://www.rbc.ru/politics/28/08/2024/66ceeb999a7947b54f4f4946?from=from_main_13
«Главное — матчасть»: что нужно знать новичкам о работе на маркетплейсе;https://spb.plus.rbc.ru/news/66bf1ac87a8aa9a5a9d7812e?from=from_main_14
Богатый пенсионер: как скопить миллионы на низкооплачиваемой работе;https://pro.rbc.ru/demo/62ff5bd39a79471dc03be015?from=from_main_15&utm_source=rbc.ru&utm_medium=inhouse_media&utm_campaign=lines_15&utm_content=62ff5bd39a79471dc03be015&utm_term=10.4Z_noauth_alt
Как айтишнику создавать личный бренд: советы от «Хабра»;https://pro.rbc.ru/demo/66bcd54e9a79478d7dd8c98e?from=from_main_16&utm_source=rbc.ru&utm_medium=inhouse_media&utm_campaign=lines_16&utm_content=66bcd54e9a79478d7dd8c98e&utm_term=10.4Z_noauth_alt
